名称,key1,value1,key2,value2,key3,value3,key4,value4
Buff-武器-精3燃狱齿轮-叠层冲击力,局内冲击力%,0.15,,,,,,
Buff-武器-精4燃狱齿轮-叠层冲击力,局内冲击力%,0.175,,,,,,
Buff-武器-精5燃狱齿轮-叠层冲击力,局内冲击力%,0.2,,,,,,
Buff-武器-精1拘缚者,普攻失衡值增加,0.06,普攻增伤,0.06,,,,
Buff-武器-精2拘缚者,普攻失衡值增加,0.075,普攻增伤,0.075,,,,
Buff-武器-精3拘缚者,普攻失衡值增加,0.09,普攻增伤,0.09,,,,
Buff-武器-精4拘缚者,普攻失衡值增加,0.105,普攻增伤,0.105,,,,
Buff-武器-精5拘缚者,普攻失衡值增加,0.12,普攻增伤,0.12,,,,
Buff-武器-精1焰心桂冠-冲击力提升,局内冲击力%,0.25,,,,,,
Buff-武器-精2焰心桂冠-冲击力提升,局内冲击力%,0.2875,,,,,,
Buff-武器-精3焰心桂冠-冲击力提升,局内冲击力%,0.325,,,,,,
Buff-武器-精4焰心桂冠-冲击力提升,局内冲击力%,0.3625,,,,,,
Buff-武器-精5焰心桂冠-冲击力提升,局内冲击力%,0.4,,,,,,
Buff-武器-精1焰心桂冠-受暴伤提升,受暴击伤害增加,0.015,,,,,,
Buff-武器-精2焰心桂冠-受暴伤提升,受暴击伤害增加,0.0172,,,,,,
Buff-武器-精3焰心桂冠-受暴伤提升,受暴击伤害增加,0.0195,,,,,,
Buff-武器-精4焰心桂冠-受暴伤提升,受暴击伤害增加,0.0217,,,,,,
Buff-武器-精5焰心桂冠-受暴伤提升,受暴击伤害增加,0.024,,,,,,
Buff-武器-精1玉壶青冰-普攻加冲击,局内冲击力%,0.007,,,,,,
Buff-武器-精2玉壶青冰-普攻加冲击,局内冲击力%,0.0088,,,,,,
Buff-武器-精3玉壶青冰-普攻加冲击,局内冲击力%,0.0105,,,,,,
Buff-武器-精4玉壶青冰-普攻加冲击,局内冲击力%,0.0122,,,,,,
Buff-武器-精5玉壶青冰-普攻加冲击,局内冲击力%,0.014,,,,,,
Buff-武器-精1玉壶青冰-15层后增伤,全增伤,0.2,,,,,,
Buff-武器-精2玉壶青冰-15层后增伤,全增伤,0.23,,,,,,
Buff-武器-精3玉壶青冰-15层后增伤,全增伤,0.26,,,,,,
Buff-武器-精4玉壶青冰-15层后增伤,全增伤,0.29,,,,,,
Buff-武器-精5玉壶青冰-15层后增伤,全增伤,0.32,,,,,,
Buff-武器-精1贵重骨核-75%以上,失衡增幅,0.1,,,,,,
Buff-武器-精2贵重骨核-75%以上,失衡增幅,0.115,,,,,,
Buff-武器-精3贵重骨核-75%以上,失衡增幅,0.13,,,,,,
Buff-武器-精4贵重骨核-75%以上,失衡增幅,0.145,,,,,,
Buff-武器-精5贵重骨核-75%以上,失衡增幅,0.16,,,,,,
Buff-武器-精1贵重骨核-50%以上,失衡增幅,0.1,,,,,,
Buff-武器-精2贵重骨核-50%以上,失衡增幅,0.115,,,,,,
Buff-武器-精3贵重骨核-50%以上,失衡增幅,0.13,,,,,,
Buff-武器-精4贵重骨核-50%以上,失衡增幅,0.145,,,,,,
Buff-武器-精5贵重骨核-50%以上,失衡增幅,0.16,,,,,,
Buff-武器-精1人为刀俎,局内冲击力%,0.02,,,,,,
Buff-武器-精2人为刀俎,局内冲击力%,0.023,,,,,,
Buff-武器-精3人为刀俎,局内冲击力%,0.026,,,,,,
Buff-武器-精4人为刀俎,局内冲击力%,0.029,,,,,,
Buff-武器-精5人为刀俎,局内冲击力%,0.032,,,,,,
Buff-武器-精1德玛拉电池II型-电伤,电属性伤害,0.15,,,,,,
Buff-武器-精2德玛拉电池II型-电伤,电属性伤害,0.175,,,,,,
Buff-武器-精3德玛拉电池II型-电伤,电属性伤害,0.2,,,,,,
Buff-武器-精4德玛拉电池II型-电伤,电属性伤害,0.22,,,,,,
Buff-武器-精5德玛拉电池II型-电伤,电属性伤害,0.24,,,,,,
Buff-武器-精1德玛拉电池II型-能量获得效率,能量获得效率,0.18,,,,,,
Buff-武器-精2德玛拉电池II型-能量获得效率,能量获得效率,0.205,,,,,,
Buff-武器-精3德玛拉电池II型-能量获得效率,能量获得效率,0.23,,,,,,
Buff-武器-精4德玛拉电池II型-能量获得效率,能量获得效率,0.255,,,,,,
Buff-武器-精5德玛拉电池II型-能量获得效率,能量获得效率,0.28,,,,,,
Buff-武器-精1硫磺石,局内攻击力%,0.035,,,,,,
Buff-武器-精2硫磺石,局内攻击力%,0.044,,,,,,
Buff-武器-精3硫磺石,局内攻击力%,0.052,,,,,,
Buff-武器-精4硫磺石,局内攻击力%,0.06,,,,,,
Buff-武器-精5硫磺石,局内攻击力%,0.07,,,,,,
Buff-角色-苍角-额外能力,冰属性伤害,0.25,,,,,,
Buff-角色-青衣-核心被动-失衡易伤,失衡易伤增加,0.04,连携技增伤,0.03,,,,
Buff-角色-青衣-额外能力-失衡效率,普攻失衡值增加,0.2,,,,,,
Buff-角色-青衣-额外能力-冲击转攻击,固定攻击力,1,,,,,,
Buff-角色-11号-核心被动,普攻增伤,0.7,,,,,,
Buff-角色-11号-组队被动-常驻,火属性伤害,0.1,,,,,,
Buff-角色-11号-组队被动-失衡,火属性伤害,0.225,,,,,,
Buff-角色-雅-终结技-冰伤,冰属性伤害,0.3,,,,,,
Buff-角色-雅-核心被动-冰焰,烈霜积蓄效率增加,0.01,,,,,,
Buff-角色-雅-核心被动-霜灼,全积蓄效率增加,0.2,,,,,,
Buff-角色-雅-组队被动-普攻增伤,普攻增伤,0.6,,,,,,
Buff-角色-雅-组队被动-无视冰抗,冰抗性穿透,0.3,,,,,,
Buff-角色-露西-特殊技-攻击力,,,,,,,,
Buff-角色-露西-长按特殊技-攻击力,,,,,,,,
Buff-角色-露西-连携技-攻击力,,,,,,,,
Buff-角色-露西-终结技-攻击力,,,,,,,,
Buff-角色-派派-组队被动-积蓄效率,,,,,,,,
Buff-角色-派派-组队被动-全队增伤,,,,,,,,
Buff-角色-柏妮思-组队被动-延长灼烧,,,,,,,,
Buff-角色-丽娜-核心被动-穿透率,穿透率,0.01,,,,,,
Buff-角色-丽娜-组队被动-增伤,电属性伤害,0.1,,,,,,
Buff-角色-丽娜-组队被动-延长感电,,,,,,,,
Buff-音擎-精1霰落星殿-暴伤,固定暴击伤害,0.5,,,,,,
Buff-音擎-精2霰落星殿-暴伤,固定暴击伤害,0.57,,,,,,
Buff-音擎-精3霰落星殿-暴伤,固定暴击伤害,0.65,,,,,,
Buff-音擎-精4霰落星殿-暴伤,固定暴击伤害,0.72,,,,,,
Buff-音擎-精5霰落星殿-暴伤,固定暴击伤害,0.8,,,,,,
Buff-音擎-精1霰落星殿-叠层冰伤,冰属性伤害,0.2,,,,,,
Buff-音擎-精2霰落星殿-叠层冰伤,冰属性伤害,0.23,,,,,,
Buff-音擎-精3霰落星殿-叠层冰伤,冰属性伤害,0.26,,,,,,
Buff-音擎-精4霰落星殿-叠层冰伤,冰属性伤害,0.29,,,,,,
Buff-音擎-精5霰落星殿-叠层冰伤,冰属性伤害,0.32,,,,,,
Buff-驱动盘-折枝剑歌-暴伤,固定暴击伤害,0.3,,,,,,
Buff-驱动盘-折枝剑歌-暴击率,固定暴击率,0.12,,,,,,
Buff-异常-烈霜霜寒,受暴击伤害增加,0.1,,,,,,
Buff-角色-青衣-核心被动-额外电压补偿,普攻失衡值增加,0.01,普攻增伤,0.005,,,,
Buff-驱动盘-自由蓝调-物理,物理异常抗性降低,0.2,,,,,,
Buff-驱动盘-自由蓝调-火,火异常抗性降低,0.2,,,,,,
Buff-驱动盘-自由蓝调-冰,冰伤害抗性降低,0.2,,,,,,
Buff-驱动盘-自由蓝调-电,电伤害抗性降低,0.2,,,,,,
Buff-驱动盘-自由蓝调-以太,以太伤害抗性降低,0.2,,,,,,
Buff-驱动盘-自由蓝调-烈霜,冰异常抗性降低,0.2,,,,,,
Buff-驱动盘-河豚电音-终结技伤害提升,终结技增伤,0.2,,,,,,
Buff-驱动盘-河豚电音-攻击力提升,局内攻击力%,0.15,,,,,,
Buff-驱动盘-静听嘉音-嘉音,,,,,,,,
Buff-驱动盘-静听嘉音-增伤,全增伤,0.08,,,,,,
Buff-驱动盘-摇摆爵士-全队增伤,全增伤,0.15,,,,,,
Buff-驱动盘-激素朋克-全局攻击力,局内攻击力%,0.25,,,,,,
Buff-驱动盘-混沌爵士-火电伤,火属性伤害,0.15,电属性伤害,0.15,,,,
Buff-驱动盘-混沌爵士-前台增伤,强化特殊技增伤,0.2,支援突击增伤,0.2,,,,
Buff-驱动盘-原始朋克-全队增伤,全增伤,0.15,,,,,,
Buff-驱动盘-獠牙重金属-增伤,全增伤,0.35,,,,,,
Buff-武器-精1啜泣摇篮-后台回能,能量自动恢复,0.6,,,,,,
Buff-武器-精1啜泣摇篮-全队增伤,全增伤,0.1,,,,,,
Buff-武器-精1啜泣摇篮-全队增伤自增长,全增伤,0.017,,,,,,
Buff-武器-精2啜泣摇篮-后台回能,能量自动恢复,0.75,,,,,,
Buff-武器-精2啜泣摇篮-全队增伤,全增伤,0.125,,,,,,
Buff-武器-精2啜泣摇篮-全队增伤自增长,全增伤,0.02,,,,,,
Buff-武器-精3啜泣摇篮-后台回能,能量自动恢复,0.9,,,,,,
Buff-武器-精3啜泣摇篮-全队增伤,全增伤,0.15,,,,,,
Buff-武器-精3啜泣摇篮-全队增伤自增长,全增伤,0.025,,,,,,
Buff-武器-精4啜泣摇篮-后台回能,能量自动恢复,1.05,,,,,,
Buff-武器-精4啜泣摇篮-全队增伤,全增伤,0.175,,,,,,
Buff-武器-精4啜泣摇篮-全队增伤自增长,全增伤,0.03,,,,,,
Buff-武器-精5啜泣摇篮-后台回能,能量自动恢复,1.2,,,,,,
Buff-武器-精5啜泣摇篮-全队增伤,全增伤,0.2,,,,,,
Buff-武器-精5啜泣摇篮-全队增伤自增长,全增伤,0.033,,,,,,
Buff-武器-精1时光切片-回能回喧响,,,,,,,,
Buff-武器-精2时光切片-回能回喧响,,,,,,,,
Buff-武器-精3时光切片-回能回喧响,,,,,,,,
Buff-武器-精4时光切片-回能回喧响,,,,,,,,
Buff-武器-精5时光切片-回能回喧响,,,,,,,,
Buff-武器-精1聚宝箱-回能,局内能量自动恢复,0.5,,,,,,
Buff-武器-精1聚宝箱-全队增伤,全增伤,0.15,,,,,,
Buff-武器-精2聚宝箱-回能,局内能量自动恢复,0.58,,,,,,
Buff-武器-精2聚宝箱-全队增伤,全增伤,0.175,,,,,,
Buff-武器-精3聚宝箱-回能,局内能量自动恢复,0.65,,,,,,
Buff-武器-精3聚宝箱-全队增伤,全增伤,0.2,,,,,,
Buff-武器-精4聚宝箱-回能,局内能量自动恢复,0.72,,,,,,
Buff-武器-精4聚宝箱-全队增伤,全增伤,0.22,,,,,,
Buff-武器-精5聚宝箱-回能,局内能量自动恢复,0.8,,,,,,
Buff-武器-精5聚宝箱-全队增伤,全增伤,0.24,,,,,,
Buff-武器-精1好斗的阿炮-全局攻击力,局内攻击力%,0.025,,,,,,
Buff-武器-精2好斗的阿炮-全局攻击力,局内攻击力%,0.028,,,,,,
Buff-武器-精3好斗的阿炮-全局攻击力,局内攻击力%,0.032,,,,,,
Buff-武器-精4好斗的阿炮-全局攻击力,局内攻击力%,0.036,,,,,,
Buff-武器-精5好斗的阿炮-全局攻击力,局内攻击力%,0.04,,,,,,
Buff-武器-精1逍遥游球-全队暴击率,,,,,,,,
Buff-武器-精2逍遥游球-全队暴击率,,,,,,,,
Buff-武器-精3逍遥游球-全队暴击率,,,,,,,,
Buff-武器-精4逍遥游球-全队暴击率,,,,,,,,
Buff-武器-精5逍遥游球-全队暴击率,,,,,,,,
Buff-武器-精1残响Ⅰ型-全队冲击力,局内冲击力%,0.08,,,,,,
Buff-武器-精2残响Ⅰ型-全队冲击力,局内冲击力%,0.09,,,,,,
Buff-武器-精3残响Ⅰ型-全队冲击力,局内冲击力%,0.1,,,,,,
Buff-武器-精4残响Ⅰ型-全队冲击力,局内冲击力%,0.11,,,,,,
Buff-武器-精5残响Ⅰ型-全队冲击力,局内冲击力%,0.12,,,,,,
Buff-武器-精1残响II型-全队掌控精通,局内异常掌控,10,局内异常精通,10,,,,
Buff-武器-精2残响II型-全队掌控精通,局内异常掌控,11.5,局内异常精通,11.5,,,,
Buff-武器-精3残响II型-全队掌控精通,局内异常掌控,13,局内异常精通,13,,,,
Buff-武器-精4残响II型-全队掌控精通,局内异常掌控,14.5,局内异常精通,14.5,,,,
Buff-武器-精5残响II型-全队掌控精通,局内异常掌控,16,局内异常精通,16,,,,
Buff-武器-精1残响III型-全队攻击力,局内攻击力%,0.08,,,,,,
Buff-武器-精2残响III型-全队攻击力,局内攻击力%,0.09,,,,,,
Buff-武器-精3残响III型-全队攻击力,局内攻击力%,0.1,,,,,,
Buff-武器-精4残响III型-全队攻击力,局内攻击力%,0.11,,,,,,
Buff-武器-精5残响III型-全队攻击力,局内攻击力%,0.12,,,,,,
Buff-角色-妮可-核心被动-减防,百分比减防,0.4,,,,,,
Buff-角色-妮可-组队被动以太-增伤,以太属性伤害,0.25,,,,,,
Buff-角色-凯撒-大招-命中护盾增加失衡值,终结技失衡值增加,1,,,,,,
Buff-角色-凯撒-核心被动-攻击力,固定攻击力,1000,,,,,,
Buff-角色-凯撒-组队被动-增伤,全增伤,0.25,,,,,,
Buff-角色-耀佳音-唱歌,,,,,,,,
Buff-角色-耀佳音-核心被动-攻击力,,,,,,,,
Buff-角色-耀佳音-组队被动-触发器,,,,,,,,
Buff-角色-柏妮思-核心被动-燃油特调触发器,,,,,,,,
Buff-角色-柏妮思-核心被动-余烬增伤,火积蓄效率增加,0.65,,,,,,
Buff-角色-柏妮思-影画2-热意洞穿,穿透率,0.04,,,,,,
Buff-角色-柏妮思-影画4-招式暴击率,固定暴击率,0.3,,,,,,
Buff-武器-精1灼心摇壶-回能,局内能量自动恢复,0.6,,,,,,
Buff-武器-精1灼心摇壶-增伤,全增伤,0.035,,,,,,
Buff-武器-精1灼心摇壶-精通,局内异常精通,50,,,,,,
Buff-武器-精2灼心摇壶-回能,局内能量自动恢复,0.75,,,,,,
Buff-武器-精2灼心摇壶-增伤,全增伤,0.044,,,,,,
Buff-武器-精2灼心摇壶-精通,局内异常精通,62,,,,,,
Buff-武器-精3灼心摇壶-回能,局内能量自动恢复,0.9,,,,,,
Buff-武器-精3灼心摇壶-增伤,全增伤,0.052,,,,,,
Buff-武器-精3灼心摇壶-精通,局内异常精通,75,,,,,,
Buff-武器-精4灼心摇壶-回能,局内能量自动恢复,1.05,,,,,,
Buff-武器-精4灼心摇壶-增伤,全增伤,0.061,,,,,,
Buff-武器-精4灼心摇壶-精通,局内异常精通,87,,,,,,
Buff-武器-精5灼心摇壶-回能,局内能量自动恢复,1.2,,,,,,
Buff-武器-精5灼心摇壶-增伤,全增伤,0.07,,,,,,
Buff-武器-精5灼心摇壶-精通,局内异常精通,100,,,,,,
Buff-角色-格莉丝-核心被动-电能,,,,,,,,
Buff-角色-格莉丝-组队被动-感电伤害,,,,,,,,
Buff-角色-格莉丝-影画2-双抗降低,,,,,,,,
Buff-武器-精1嵌合编译器-攻击力,局内攻击力%,0.12,,,,,,
Buff-武器-精1嵌合编译器-精通,固定异常精通,25,,,,,,
Buff-武器-精2嵌合编译器-攻击力,局内攻击力%,0.15,,,,,,
Buff-武器-精2嵌合编译器-精通,固定异常精通,31,,,,,,
Buff-武器-精3嵌合编译器-攻击力,局内攻击力%,0.18,,,,,,
Buff-武器-精3嵌合编译器-精通,固定异常精通,37,,,,,,
Buff-武器-精4嵌合编译器-攻击力,局内攻击力%,0.21,,,,,,
Buff-武器-精4嵌合编译器-精通,固定异常精通,43,,,,,,
Buff-武器-精5嵌合编译器-攻击力,局内攻击力%,0.24,,,,,,
Buff-武器-精5嵌合编译器-精通,固定异常精通,50,,,,,,
Buff-武器-精1防爆者Ⅵ型-暴击率,局内暴击率,0.15,,,,,,
Buff-武器-精2防爆者Ⅵ型-暴击率,局内暴击率,0.188,,,,,,
Buff-武器-精3防爆者Ⅵ型-暴击率,局内暴击率,0.226,,,,,,
Buff-武器-精4防爆者Ⅵ型-暴击率,局内暴击率,0.264,,,,,,
Buff-武器-精5防爆者Ⅵ型-暴击率,局内暴击率,0.3,,,,,,
Buff-武器-精1防爆者Ⅵ型-普攻增伤,普攻增伤,0.35,,,,,,
Buff-武器-精2防爆者Ⅵ型-普攻增伤,普攻增伤,0.435,,,,,,
Buff-武器-精3防爆者Ⅵ型-普攻增伤,普攻增伤,0.52,,,,,,
Buff-武器-精4防爆者Ⅵ型-普攻增伤,普攻增伤,0.605,,,,,,
Buff-武器-精5防爆者Ⅵ型-普攻增伤,普攻增伤,0.7,,,,,,
Buff-角色-朱鸢-核心被动-强化普攻增伤,普攻增伤,0.4,,,,,,
Buff-角色-朱鸢-核心被动-失衡普攻增伤,普攻增伤,0.4,,,,,,
Buff-角色-朱鸢-额外能力-暴击率,局内暴击率,0.3,,,,,,
Buff-角色-朱鸢-2画-强化普攻增伤,普攻增伤,0.1,,,,,,
Buff-角色-朱鸢-4画-无视以太抗,以太伤害抗性降低,0.25,,,,,,
Buff-角色-朱鸢-6画-降低能耗,,,,,,,,
Buff-角色-格丽斯-4画-能量获取效率,,,,,,,,
Buff-角色-格丽斯-6画-特殊技增伤,,,,,,,,
Buff-角色-伊芙琳-核心被动-暴击率提升,局内暴击率,0.25,,,,,,
Buff-角色-伊芙琳-组队被动-连携技大招增伤,连携技增伤,0.3,终结技增伤,0.3,,,,
Buff-角色-伊芙琳-组队被动-连携技大招倍率增加,,,,,,,,
Buff-角色-伊芙琳-1画-无视防御力,百分比减防,0.12,,,,,,
Buff-角色-伊芙琳-1画-无视防御力扩散,百分比减防,0.12,,,,,,
Buff-角色-伊芙琳-1画-禁锢触发器,,,,,,,,
Buff-角色-伊芙琳-2画-局内大攻击,局内攻击力%,0.15,,,,,,
Buff-角色-伊芙琳-2画-返还撩火触发器,,,,,,,,
Buff-角色-伊芙琳-2画-连携技打断等级提升,,,,,,,,
Buff-角色-伊芙琳-4画-护盾给暴伤,局内暴击伤害,0.4,,,,,,
Buff-角色-伊芙琳-4画-护盾,,,,,,,,
Buff-角色-伊芙琳-6画-额外追击触发器,,,,,,,,
Buff-武器-精1心弦夜响-暴伤,局内暴击伤害,0.5,,,,,,
Buff-武器-精2心弦夜响-暴伤,局内暴击伤害,0.575,,,,,,
Buff-武器-精3心弦夜响-暴伤,局内暴击伤害,0.65,,,,,,
Buff-武器-精4心弦夜响-暴伤,局内暴击伤害,0.725,,,,,,
Buff-武器-精5心弦夜响-暴伤,局内暴击伤害,0.8,,,,,,
Buff-武器-精1心弦夜响-无视火抗,火抗性穿透,0.125,,,,,,
Buff-武器-精2心弦夜响-无视火抗,火抗性穿透,0.145,,,,,,
Buff-武器-精3心弦夜响-无视火抗,火抗性穿透,0.165,,,,,,
Buff-武器-精4心弦夜响-无视火抗,火抗性穿透,0.185,,,,,,
Buff-武器-精5心弦夜响-无视火抗,火抗性穿透,0.2,,,,,,
Buff-武器-精1心弦夜响-心弦触发器,,,,,,,,
Buff-武器-精2心弦夜响-心弦触发器,,,,,,,,
Buff-武器-精3心弦夜响-心弦触发器,,,,,,,,
Buff-武器-精4心弦夜响-心弦触发器,,,,,,,,
Buff-武器-精5心弦夜响-心弦触发器,,,,,,,,
Buff-角色-悠真-核心被动-特殊冲刺攻击暴击率,局内暴击率,0.25,,,,,,
Buff-角色-悠真-核心被动-特殊冲刺攻击暴伤,局内暴击伤害,0.12,,,,,,
Buff-角色-悠真-组队被动,全增伤,0.4,,,,,,
Buff-角色-悠真-2画-特殊冲刺攻击增伤,冲刺攻击增伤,0.5,,,,,,
Buff-角色-悠真-6画-无视电抗,电抗性穿透,0.15,,,,,,
Buff-武器-精1残心青囊-暴击率,固定暴击率,0.1,,,,,,
Buff-武器-精2残心青囊-暴击率,固定暴击率,0.115,,,,,,
Buff-武器-精3残心青囊-暴击率,固定暴击率,0.13,,,,,,
Buff-武器-精4残心青囊-暴击率,固定暴击率,0.145,,,,,,
Buff-武器-精5残心青囊-暴击率,固定暴击率,0.16,,,,,,
Buff-武器-精1残心青囊-电属性伤害,电属性伤害,0.4,,,,,,
Buff-武器-精2残心青囊-电属性伤害,电属性伤害,0.46,,,,,,
Buff-武器-精3残心青囊-电属性伤害,电属性伤害,0.52,,,,,,
Buff-武器-精4残心青囊-电属性伤害,电属性伤害,0.58,,,,,,
Buff-武器-精5残心青囊-电属性伤害,电属性伤害,0.64,,,,,,
Buff-武器-精1残心青囊-条件暴击率,固定暴击率,0.1,,,,,,
Buff-武器-精2残心青囊-条件暴击率,固定暴击率,0.115,,,,,,
Buff-武器-精3残心青囊-条件暴击率,固定暴击率,0.13,,,,,,
Buff-武器-精4残心青囊-条件暴击率,固定暴击率,0.145,,,,,,
Buff-武器-精5残心青囊-条件暴击率,固定暴击率,0.16,,,,,,
Buff-角色-艾莲-1画-暴击率,局内暴击率,0.02,,,,,,
Buff-角色-艾莲-2画-强化特殊技额外爆伤,局内暴击伤害,0.2,,,,,,
Buff-角色-艾莲-4画-能量回复,,,,,,,,
Buff-角色-艾莲-6画-穿透率,穿透率,0.2,,,,,,
Buff-角色-艾莲-6画-冲刺蓄力剪增伤,冲刺攻击增伤,2.5,,,,,,
Buff-角色-11号-1画-回能,,,,,,,,
Buff-角色-11号-2画-火力镇压增伤,普攻增伤,0.03,冲刺攻击增伤,0.03,闪避反击增伤,0.03,,
Buff-角色-11号-6画-火力镇压无视火抗,,,,,,,,
Buff-角色-艾莲-快蓄触发器,,,,,,,,
Buff-角色-柏妮思-组队被动-火积蓄加成,,,,,,,,
Buff-角色-柏妮思-1画-余烬倍率提升,,,,,,,,
Buff-角色-柏妮思-1画-余烬火积蓄加成,,,,,,,,
Buff-角色-柏妮思-4画-双喷延时触发器,,,,,,,,
Buff-武器-精1家政员-后场时能量回复,局内能量自动恢复,0.45,,,,,,
Buff-武器-精2家政员-后场时能量回复,局内能量自动恢复,0.52,,,,,,
Buff-武器-精3家政员-后场时能量回复,局内能量自动恢复,0.58,,,,,,
Buff-武器-精4家政员-后场时能量回复,局内能量自动恢复,0.65,,,,,,
Buff-武器-精5家政员-后场时能量回复,局内能量自动恢复,0.72,,,,,,
Buff-武器-精1家政员-物理增伤,物理属性伤害,0.03,,,,,,
Buff-武器-精2家政员-物理增伤,物理属性伤害,0.035,,,,,,
Buff-武器-精3家政员-物理增伤,物理属性伤害,0.04,,,,,,
Buff-武器-精4家政员-物理增伤,物理属性伤害,0.044,,,,,,
Buff-武器-精5家政员-物理增伤,物理属性伤害,0.048,,,,,,
Buff-武器-精1旋钻机-赤轴-电属性增伤,普攻增伤,0.5,冲刺攻击增伤,0.5,,,,
Buff-武器-精2旋钻机-赤轴-电属性增伤,普攻增伤,0.575,冲刺攻击增伤,0.575,,,,
Buff-武器-精3旋钻机-赤轴-电属性增伤,普攻增伤,0.65,冲刺攻击增伤,0.65,,,,
Buff-武器-精4旋钻机-赤轴-电属性增伤,普攻增伤,0.725,冲刺攻击增伤,0.725,,,,
Buff-武器-精5旋钻机-赤轴-电属性增伤,普攻增伤,0.8,冲刺攻击增伤,0.8,,,,
Buff-武器-精1星徽引擎-攻击力提升,局内攻击力%,0.12,,,,,,
Buff-武器-精2星徽引擎-攻击力提升,局内攻击力%,0.138,,,,,,
